Date,United States,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missour,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
2004-01-01,161415.79709307026,112468.89776284383,187235.3133355501,166981.7431110177,101330.14535938621,320965.66049503506,222891.84820255978,240366.46656839576,197922.44784007952,267170.4444427882,155655.28812675376,148701.35986051685,283888.1155015827,136881.87947151883,170297.92293045387,107289.11105469718,108408.61222485937,102302.22870108268,98961.1906106228,123739.5232590454,165593.58685100233,221960.55747086776,320550.0839198645,142648.87777852177,187622.69659175782,99505.26032439293,124227.70290486274,,119183.2693472178,206135.23251374462,216564.30475063765,269606.8061660154,141041.53489773264,218936.256171567,142534.5130318268,,123053.25388922234,94916.96820854845,181109.93511113152,128350.42046665825,232295.19701615057,130160.99154262363,120966.24589279648,122685.99209175032,120843.53339356674,180548.7660334695,159287.33836211803,177558.17729878883,212860.7781614909,86900.60316672444,150926.44057257075,154013.4262547318
2004-02-01,162463.87001553015,112725.08842345183,187841.54909660784,167847.41890555318,101783.23207130654,325732.8473501255,223182.10168440233,242095.67381931134,199353.17657703022,270092.52997744066,157052.67297183245,149007.62254828037,288127.85413999244,137349.42804074124,171186.82879673154,107405.05992558996,108650.86464766141,102508.09381723161,99203.17484528903,124252.50960557243,167439.063025139,224305.47435197592,322865.5775943466,143052.79836015537,188751.6116785868,99711.14900342753,124718.39201748383,,119691.38533708715,209524.24483788453,218240.07355028926,271978.2315153494,141768.18224931188,220577.32118310747,142856.7190517201,,123377.11469871124,95219.10223873534,181941.01424024397,129161.71421616928,235308.37849151742,130595.08425952018,121415.46893272072,123007.2983445283,121661.05163263336,180839.20831084927,160645.6355373847,179308.46402217375,214128.6360107124,87419.09451338563,151705.82448503273,154493.15208768917
2004-03-01,163620.16122218044,113012.03926643154,188271.79083961798,168900.51331634822,102304.17958245415,331170.3560307659,223520.34526236972,243749.32460334824,200834.16988051776,273584.9341850159,158583.65654597862,149304.30719951366,292834.4293134145,137889.97235529998,172103.74289327956,107552.6510451355,108872.42041727179,102846.490428896,99418.2206908574,124827.84911010164,169373.4859860701,226665.95641707757,325270.41112592333,143440.96052714117,189857.1327817506,99989.43991209735,125091.97888358531,,120249.71396629438,214336.77670012412,220007.20579865156,274593.69035930734,142321.25616307903,221952.88945207946,143145.02996028194,,123706.21700935949,95506.57751269602,182912.9876141455,129977.04820665497,238176.00494646185,131052.81986387497,122002.5870180911,123363.24901747277,122955.1823861006,181171.77818880044,162105.9709451855,181345.55586620444,215461.76885806234,88034.03666295474,152507.8191451242,155126.85714246825
2004-04-01,164912.79758851827,113305.18222241294,189382.53600171392,170180.25140358054,102880.78879787,337412.4895272911,224019.582683338,245757.60439763207,202654.26326258093,277048.37004987296,160329.3889428979,149703.85560672564,298176.3701982295,138516.9476576399,173125.63528861964,107691.70237954588,109150.26057996893,103424.68135095599,99597.80502544121,125396.67418781684,171206.22448427268,229429.19229754902,327936.2127492611,143719.91126116048,191122.15679643673,100260.16222986819,125401.40829563416,,120778.04184072647,219553.79630565728,221935.31225437348,277423.5371401861,142860.20764888797,223319.92682923833,143443.30036017435,,124029.53231893685,95779.03476589119,184135.5240081832,130882.76407478338,241195.76310200698,131500.54107455382,122502.40956817765,123763.27614412185,124239.43425655742,181569.73131457515,163691.50017358453,183784.25176508995,217005.86358863686,88581.01702541662,153457.60773455372,155979.32763263502
2004-05-01,166368.36561372693,113666.68130399958,190588.14763268165,171738.80891956485,103421.56819289523,344599.78206132,224670.44151351546,248250.26100657936,204843.25278870694,281171.4236305645,162373.1564255676,150147.31331826383,303536.6522127132,139213.9324654028,174270.3396808149,108009.60488075558,109486.73208457128,104026.41452446378,99792.38423532205,125893.17254978769,173436.19848553927,232585.2105997368,330660.98152516625,144079.9357188608,192461.98551055812,100538.830921784,125818.7599979645,,121380.82124614815,226110.8168600971,224122.7292778394,280736.6313160725,143482.6381818324,224928.91987839752,143742.37186635233,,124368.92217420162,96040.66582209454,185657.86072311283,131948.7611944806,244453.44126929992,132064.2098144079,123091.20048081591,124167.72432752691,125300.6869620179,181787.25424862272,165682.58238972074,186704.73561814133,218988.12379360292,89089.91328147597,154662.2478619289,157153.05250210813
2004-06-01,167953.53777035687,114119.22309209313,192026.98796526322,173485.4046392401,103961.7346671472,352620.90460838267,225355.88362774916,251111.52569176382,207507.9701616553,285647.6020432759,164691.51930633772,150593.7379302803,310244.6489078672,140024.65225620728,175591.40898406305,108405.07417326873,109871.28234805958,104520.59039556324,100028.78852712335,126440.76969300183,175952.4570640923,236454.27912618872,333242.5703628152,144462.75274311003,193946.42227521332,100795.97580775215,126332.17760478026,,121934.02565998163,233120.80252550045,226454.80140103537,284348.4171846769,144366.3920586746,226914.035313198,144106.64244030832,,124723.40753727309,96300.51153338152,187356.83624973692,133207.0670592225,248283.25632044612,132702.95224271747,123874.73593387473,124593.89951533587,125981.83172292974,182011.26822079162,167850.0968082104,190035.58531226483,221295.17307510032,89576.08177362697,156073.37346169716,158598.8757504866
2004-07-01,169661.70895106427,114658.3717815884,193544.91154429512,,104484.83189395514,360821.44836653984,225985.70137375148,254053.50262845083,210268.65232475862,290901.7763911097,167267.09782651192,151024.2340312138,317613.00503785355,140918.20707209976,176866.95494459142,108857.1196841636,110254.49236962361,104824.89991563326,100337.077461224,126993.6059103267,178726.084079086,240777.06818584283,335848.9872906016,144914.36429025547,195364.34539921497,101098.52019268104,126969.11847234536,,122558.88253379102,242460.12395231109,228515.8407730353,288219.89258766413,145428.6558774514,229146.47896832475,144492.43126467944,,125121.51753845252,96563.83504415152,189274.25079564805,134684.2476486491,252340.92966310287,133465.76823911243,124939.46567499852,125056.18326092012,126618.54455532262,182220.94867397414,169892.94634137544,193815.40074433954,223636.15490807616,90200.88992533472,157658.85020362257,160111.75704745387
2004-08-01,171394.45504993058,115171.27056285673,194938.78048228324,178257.00222767695,105033.10583190453,368647.65553069167,226558.3108401523,256870.8001014347,212999.177537075,295890.73125022143,170103.46147942785,151517.63890355398,325058.3374149326,141772.60981731722,178275.6255458484,109273.44865130373,110668.8626878013,105165.33072492469,100639.04396686575,127741.86791383679,180633.52257964364,245538.97843527445,338508.743351175,145381.7521857218,196640.92168390806,101489.60312063643,127550.61000282654,,123087.51749790717,251315.3438137904,230484.53698800478,292235.93593502644,146387.60746412116,231443.08645739476,144912.8517599716,,125495.40750191879,96881.28601605736,191171.7920066107,136127.58265538194,256107.2550667857,134169.485756456,125886.2367487905,125553.50859281515,127197.69718065565,182450.73007037453,171301.46273255625,197791.61237475733,225894.14856566457,90873.09704990755,159011.937671839,161648.05253233135
2004-09-01,173105.25917775574,115642.06241556203,196617.04044102845,180789.32692617798,105595.00640794821,376059.34913852875,226904.72579367596,259601.27795571476,215564.15336824543,301587.61719690467,172983.6117535048,152056.3921388429,331327.8103762965,142519.73536182326,179643.83652138323,109574.63951799714,111057.48791912664,106071.07500238014,100937.07324647876,128431.10772855389,182111.57817928187,250267.75643368738,341643.6800136461,145840.44846686468,197839.12091481182,102009.14431172282,128052.55547198757,,123467.57778103619,261255.06087693517,232323.07169678714,296202.6730658806,147117.54042113756,233861.0721652885,145363.71085699016,,125856.30618610578,97269.18950174499,192999.02480493687,137568.8817826483,259280.03919307503,134906.9351656104,126726.93031029338,126074.99059617752,127851.63998000017,182624.55600290862,172540.60514973736,201773.51902699764,227998.9228239849,91541.77422861512,160249.94350816275,163081.5368931772
2004-10-01,174744.69766702852,116126.34867445989,198327.59863204043,183400.81875708906,106150.79018387682,383177.6827609813,227268.85817414682,262562.42703332327,218322.30141771134,308362.76128142513,175750.48793763644,152633.54713701934,337128.22524567967,143163.93366863954,181128.11445243447,109951.7946233853,111458.73618609198,107193.6004079249,101265.31569319614,129118.77405729315,183290.44876657845,254612.04497929048,344773.6547917812,146332.9886956015,198935.8562236532,102620.59726171615,128511.67953336072,,123736.41845407944,269032.8646788926,234179.69280759222,300106.03679811285,147760.5922665008,236237.12954728733,145852.87854284968,,126196.97686160826,97692.59039907757,194708.2673245907,138824.15129846314,262478.2876007226,135662.54665276094,127436.62277947215,126619.76258409861,128460.07987405975,182737.7451435694,173996.74837896702,205309.9537543751,230048.6057298615,92166.80128697642,161350.8278175551,164358.7545695831
